,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,0.9287642983193276,0.798125625238557,0.7979232130198233,0.7984128446378551,0.7992144671291594,0.7945665744105334,0.7960481426147383,0.7951743087850526,0.79480873045372,0.7999118216594331,0.7988901889755903,0.7966983918336565,0.7948086355542215
K,0.8029447142356944,0.904383171487826,0.77025591852895,0.7702710867731708,0.7728682950603317,0.7676935510781235,0.7632906300096963,0.7668718035945148,0.7647702301959245,0.7644841777095454,0.7624451679479484,0.760241576057346,0.7575433465347676
Q,0.8011321869478562,0.760921978514483,0.8943852310885892,0.7644271799450549,0.7666249529658017,0.7610330551297442,0.7560544226267429,0.751476643857543,0.7545368966317296,0.7534617409079017,0.7509136872826054,0.7491357650944992,0.746740485928987
J,0.8035016294941054,0.763293652230123,0.7516682289646629,0.8912107008572661,0.7691858287545789,0.7661252690460799,0.7603144290793242,0.7549252423931111,0.750027343987595,0.7521301242881767,0.7481260964385756,0.7459394416151075,0.7432489664365747
T,0.8048967412195647,0.7654392572259673,0.7528789163396128,0.7535863092082987,0.890953705932373,0.7702835775733372,0.7653910530789239,0.7607405561262968,0.7544012880690738,0.7499262295572076,0.7484557894119187,0.7472957417582418,0.7434691751777633
9,0.798956351078893,0.7603379489334195,0.7482094271554776,0.7476016612029426,0.7541893623564812,0.890980762366485,0.7710440911980178,0.765905732958568,0.7619333932111306,0.756369156123988,0.7473344948056145,0.7471340967002187,0.7447511272739865
8,0.8001007384607688,0.7542903593014129,0.7435622058361804,0.7449679761096747,0.7500493555383692,0.7555686318604364,0.8921163419059932,0.7719527168405824,0.7685152944408532,0.7615650583964356,0.7537632681649583,0.7445928543340413,0.745611479815003
7,0.8004329222766029,0.7568203242335396,0.7370752040739373,0.7376808808331025,0.7424768595014929,0.750073456709607,0.7554776479284021,0.8903614427386339,0.7717791509219073,0.7660568029942745,0.7585245267029888,0.7522658955389848,0.7435964210453413
6,0.7992372267137624,0.7586446518607441,0.7415669185481886,0.7333530535214088,0.7387058170922214,0.744741492531628,0.750994239499646,0.7569018833033214,0.8912072939983684,0.7737287204304799,0.7663377598539417,0.7580287584649245,0.7485565549104257
5,0.8040666368124174,0.7562331455697664,0.7397139097254287,0.7356856868285776,0.732902564102564,0.7377786103364423,0.7442878221634809,0.7493887556214793,0.7571938772316619,0.8915179849939975,0.7704180892972574,0.760421087246437,0.7532076004132422
4,0.8035783891325762,0.7534865291770554,0.737668565918675,0.7327947515544679,0.7326900337904393,0.7296075365492349,0.7361885657185953,0.7430418172961493,0.748850701596023,0.7547846349308955,0.8901363333948965,0.7597458278773047,0.7512386122256594
3,0.8006613586049804,0.7532184389640473,0.7352370486964016,0.7298847018807522,0.730973526037338,0.7297708783205589,0.7267334996152308,0.7336267183796595,0.740897438929418,0.746180116142611,0.7424612309770062,0.8892851829808847,0.7485241922615199
2,0.7992387733785823,0.7508724517537783,0.7333476605988548,0.7279521053652231,0.7280455853649153,0.7268284129574907,0.7270253168536646,0.7244293576122757,0.733445811736233,0.7363860488156799,0.734424849439776,0.7306897360713517,0.8877363320289654
